headline_raw,datetime_myt,prob_positive,prob_negative,score
"U.S. S&P 500 E-MINI FUTURES DOWN 0.7%, NASDAQ 100 FUTURES DOWN 1%, DOW FUTURES DOWN 0.5% Wall Street ends higher on tech rally; investors eye Beijing talks US STOCKS",2026-05-15 16:00:56,0.01517255324870348,0.9523584246635437,-0.9371858714148402
"U.S. S&P 500 E-MINI FUTURES DOWN 0.4%, NASDAQ 100 FUTURES DOWN 0.3%, DOW FUTURES DOWN 0.6%",2026-05-18 16:01:18,0.007871863432228565,0.9648388624191284,-0.9569669989868999
"U.S. S&P 500 E-MINI FUTURES UP 0.07%, NASDAQ 100 FUTURES UP 0.06%, DOW FUTURES UP 0.14%",2026-05-19 16:00:52,0.7963551878929138,0.0891793817281723,0.7071758061647415
U.S. STOCK INDEX FUTURES TURN NEGATIVE,2026-05-19 16:32:24,0.012063667178153992,0.9383454918861389,-0.9262818247079849
"S&P 500 E-MINI FUTURES DOWN 0.2%, NASDAQ 100 FUTURES DOWN 0.3%, DOW FUTURES DOWN 0.08%",2026-05-19 16:32:24,0.007905425503849983,0.9671189785003662,-0.9592135529965162
"U.S. S&P 500 E-MINI FUTURES UP 0.1%, NASDAQ 100 FUTURES UP 0.4%, DOW FUTURES DOWN 0.05%",2026-05-20 16:00:58,0.2905174195766449,0.6098793745040894,-0.31936195492744446
"U.S. S&P 500 E-MINI FUTURES DOWN 0.1%, NASDAQ 100 FUTURES DOWN 0.2%, DOW FUTURES DOWN 0.2%",2026-05-21 16:00:40,0.007887287996709347,0.9651362299919128,-0.9572489419952035
"U.S. S&P 500 E-MINI FUTURES UP 0.3%, NASDAQ 100 FUTURES UP 0.5%, DOW FUTURES UP 0.3%",2026-05-22 16:00:29,0.7644296884536743,0.09902256727218628,0.665407121181488
"S&P 500 FUTURES RISE ABOUT 0.7%, NASDAQ FUTURES UP 1.2% S&P 500 FUTURES RISE ABOUT 0.5% IN EARLY ASIA TRADE; NASDAQ 100 FUTURES UP 0.6%",2026-05-25 09:03:27,0.8915113210678101,0.056244395673274994,0.8352669253945351
"U.S. S&P 500 E-MINI FUTURES UP 0.5%, NASDAQ 100 FUTURES ADD 0.7%, DOW FUTURES UP 0.5%",2026-05-26 16:02:04,0.795783519744873,0.08346633613109589,0.7123171836137772
"U.S. S&P 500 E-MINI FUTURES UP 0.1%, NASDAQ 100 FUTURES ADD 0.2%, DOW FUTURES UP 0.3%",2026-05-27 16:01:45,0.7722897529602051,0.09435579925775528,0.6779339537024498
"U.S. S&P 500 E-MINI FUTURES DOWN 0.1%, NASDAQ 100 FUTURES DIP 0.3%, DOW FUTURES FLAT",2026-05-28 16:01:29,0.008534415625035763,0.9658515453338623,-0.9573171297088265
