days,trades,win_%,avg_ret_%,cum_ret_%,equity_myr,max_dd_%,sharpe,pf
1,17,11.76,0.15,1.26,10126.48,-2.05,1.63,1.46
2,17,11.76,0.24,2.0,10200.05,-2.83,1.39,1.74
3,16,12.5,0.66,5.31,10531.18,0.0,3.9,
4,16,12.5,0.82,6.69,10668.64,0.0,3.3,
5,16,12.5,1.0,8.16,10815.87,0.0,3.01,
10,16,12.5,0.47,3.8,10380.5,0.0,1.47,
20,16,0.0,0.0,0.0,10000.0,0.0,,
